treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "ST_MartialRangedWeapons"
CanMerge 1
new subtable "1,1"
object category "I_WPN_Pistol",1,0,0,0,0,0,0,0
object category "I_WPN_Musket",1,0,0,0,0,0,0,0
new treasuretable "ST_MartialRangedWeapons_1"
CanMerge 1
new subtable "1,1"
StartLevel "3"
object category "I_WPN_Pistol_1",1,0,0,0,0,0,0,0
object category "I_WPN_Musket_1",1,0,0,0,0,0,0,0
object category "I_WPN_Longbow_1",1,0,0,0,0,0,0,0
new treasuretable "ST_SimpleRangedWeapons_2"
new subtable "1,1"
StartLevel "6"
object category "I_WPN_LightCrossbow_2",1,0,0,0,0,0,0,0
object category "I_WPN_Shortbow_2",1,0,0,0,0,0,0,0
new treasuretable "ST_MartialRangedWeapons_2"
new subtable "1,1"
StartLevel "6"
object category "I_WPN_HandCrossBow_2",1,0,0,0,0,0,0,0
object category "I_WPN_HeavyCrossBow_2",1,0,0,0,0,0,0,0
object category "I_WPN_Longbow_2",1,0,0,0,0,0,0,0
object category "I_WPN_Pistol_2",1,0,0,0,0,0,0,0
object category "I_WPN_Musket_2",1,0,0,0,0,0,0,0
new treasuretable "EquipmentTrader_Ranged_Magic"
CanMerge 1
new subtable "1,1"
object category "T_ST_MartialRangedWeapons_2",1,0,0,0,0,0,0,0
object category "T_ST_SimpleRangedWeapons_2",1,0,0,0,0,0,0,0
new treasuretable "ST_MartialMeleeWeapons"
CanMerge 1
new subtable "1,1"
object category "I_WPN_Whip",1,0,0,0,0,0,0,0
object category "I_WPN_Whip_1",1,0,0,0,0,0,0,0
object category "I_WPN_Whip_2",1,0,0,0,0,0,0,0
object category "I_WPN_Battleaxe",1,0,0,0,0,0,0,0
object category "I_WPN_Battleaxe_1",1,0,0,0,0,0,0,0
object category "I_WPN_Battleaxe_2",1,0,0,0,0,0,0,0
object category "I_WPN_Flail",1,0,0,0,0,0,0,0
object category "I_WPN_Flail_1",1,0,0,0,0,0,0,0
object category "I_WPN_Flail_2",1,0,0,0,0,0,0,0
object category "I_WPN_Glaive",1,0,0,0,0,0,0,0
object category "I_WPN_Glaive_1",1,0,0,0,0,0,0,0
object category "I_WPN_Glaive_2",1,0,0,0,0,0,0,0
object category "I_WPN_Greataxe",1,0,0,0,0,0,0,0
object category "I_WPN_Greataxe_1",1,0,0,0,0,0,0,0
object category "I_WPN_Greataxe_2",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_1",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_2",1,0,0,0,0,0,0,0
object category "I_WPN_Halberd",1,0,0,0,0,0,0,0
object category "I_WPN_Halberd_1",1,0,0,0,0,0,0,0
object category "I_WPN_Halberd_2",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_1",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_2",1,0,0,0,0,0,0,0
object category "I_WPN_Maul",1,0,0,0,0,0,0,0
object category "I_WPN_Maul_1",1,0,0,0,0,0,0,0
object category "I_WPN_Maul_2",1,0,0,0,0,0,0,0
object category "I_WPN_Morningstar",1,0,0,0,0,0,0,0
object category "I_WPN_Morningstar_1",1,0,0,0,0,0,0,0
object category "I_WPN_Morningstar_2",1,0,0,0,0,0,0,0
object category "I_WPN_Pike",1,0,0,0,0,0,0,0
object category "I_WPN_Pike_1",1,0,0,0,0,0,0,0
object category "I_WPN_Pike_2",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_1",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_2",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_1",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_2",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_1",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_2",1,0,0,0,0,0,0,0
object category "I_WPN_Trident",1,0,0,0,0,0,0,0
object category "I_WPN_Trident_1",1,0,0,0,0,0,0,0
object category "I_WPN_Trident_2",1,0,0,0,0,0,0,0
object category "I_WPN_WarPick",1,0,0,0,0,0,0,0
object category "I_WPN_WarPick_1",1,0,0,0,0,0,0,0
object category "I_WPN_WarPick_2",1,0,0,0,0,0,0,0
object category "I_WPN_Warhammer",1,0,0,0,0,0,0,0
object category "I_WPN_Warhammer_1",1,0,0,0,0,0,0,0
object category "I_WPN_Warhammer_2",1,0,0,0,0,0,0,0
